year,raceId,boatType,classId,place,value,temp,rain,water
2021,ADK90,Canoe,oc2stockmix,6,22482,60,0,5.13
2008,ADK90,Canoe,open,NA,22485,70.2,0.323,4.58
2024,ADK90,Canoe,oc1stockmaster,3,22485,59.6,0.768,4.26
2017,ADK90,Canoe,open,NA,22485,52.8,0.02,5.46
2025,ADK90,Canoe,oc4stockwomen,3,22486.6,60.5,0.134,3.08
2008,ADK90,Guideboat,g1,1,22487,70.2,0.323,4.58
2019,ADK90,Unknown,open,49,22490,59.3,0.008,4.97
2018,ADK90,Kayak,k1tour,6,22491,58.7,0,2.76
2009,ADK90,Canoe,oc2recmix,2,22500,60,0.185,4.03
2021,ADK90,Unknown,open,11,22501,60,0,5.13
2018,ADK90,Canoe,open,NA,22505,58.7,0,2.76
2011,ADK90,Canoe,open,NA,22512,62.9,0,7.28
2021,ADK90,Canoe,oc1stockveteran,2,22515,60,0,5.13
2015,ADK90,Guideboat,g2mix,1,22516,63,0.185,2.75
2022,ADK90,Canoe,oc2stockopen,12,22520.6,67.5,0,3.91
2014,ADK90,Canoe,oc2ammix,2,22522,68.9,0.067,4.01
2022,ADK90,Unknown,solorecwomen,3,22525.2,67.5,0,3.91
2016,ADK90,Canoe,oc2ammix,3,22527,69.6,0.004,3.19
2008,ADK90,Canoe,open,NA,22529,70.2,0.323,4.58
2016,ADK90,Kayak,k1tour,1,22529,69.6,0.004,3.19
2009,ADK90,Canoe,oc2family,1,22530,60,0.185,4.03
2017,ADK90,Canoe,open,NA,22532,52.8,0.02,5.46
2014,ADK90,Kayak,k1tourmaster,3,22537,68.9,0.067,4.01
2016,ADK90,Canoe,open,NA,22537,69.6,0.004,3.19
2024,ADK90,Canoe,oc4stockmaster,10,22538.2,59.6,0.768,4.26
2023,ADK90,Kayak,k1nc,1,22543,65.2,0,5
2023,ADK90,Kayak,k1nc,2,22543.3,65.2,0,5
2024,ADK90,Unknown,solorecmaster,5,22544,59.6,0.768,4.26
2022,ADK90,Canoe,oc2stockmix,4,22544.5,67.5,0,3.91
2008,ADK90,Canoe,oc2stockmaster,9,22545,70.2,0.323,4.58
2025,ADK90,Canoe,oc4stock,13,22545.5,60.5,0.134,3.08
2025,ADK90,Unknown,solorecmaster,4,22546.1,60.5,0.134,3.08
2012,ADK90,Canoe,open,NA,22551,69.1,0.516,4.29
2014,ADK90,Canoe,open,NA,22552,68.9,0.067,4.01
2010,ADK90,Canoe,open,NA,22554,58.4,0,3.89
2011,ADK90,Canoe,open,NA,22557,62.9,0,7.28
2013,ADK90,Canoe,open,NA,22557,57.4,0.047,4.6
2010,ADK90,Kayak,k2master,4,22559,58.4,0,3.89
2022,ADK90,Canoe,oc2stock,3,22562.5,67.5,0,3.91
2008,ADK90,Canoe,oc2recmix,2,22564,70.2,0.323,4.58
2010,ADK90,Canoe,open,NA,22567,58.4,0,3.89
2017,ADK90,Canoe,oc1stockmaster,2,22567,52.8,0.02,5.46
2010,ADK90,Canoe,open,NA,22567,58.4,0,3.89
2017,ADK90,Canoe,oc2stockmix,4,22577,52.8,0.02,5.46
2021,ADK90,SUP,solorecmaster,3,22577,60,0,5.13
2019,ADK90,Kayak,k1tourmaster,5,22580,59.3,0.008,4.97
2019,ADK90,Unknown,open,51,22582,59.3,0.008,4.97
2017,ADK90,Canoe,open,NA,22586,52.8,0.02,5.46
2019,ADK90,Kayak,k1tourveteran,1,22587,59.3,0.008,4.97
2024,ADK90,Canoe,oc2stockmaster,5,22590,59.6,0.768,4.26
2017,ADK90,Kayak,k1tour,6,22593,52.8,0.02,5.46
2012,ADK90,Canoe,open,NA,22593,69.1,0.516,4.29
2022,ADK90,Canoe,oc2stockmixmaster,6,22595,67.5,0,3.91
2025,ADK90,Canoe,oc2stock,12,22596.1,60.5,0.134,3.08
2010,ADK90,Canoe,oc2stockmixmaster,9,22598,58.4,0,3.89
2019,ADK90,Canoe,oc2stockwomen,2,22599,59.3,0.008,4.97
2011,ADK90,Canoe,open,NA,22599,62.9,0,7.28
2008,ADK90,Guideboat,g2,8,22603,70.2,0.323,4.58
2016,ADK90,Canoe,oc4women,4,22607,69.6,0.004,3.19
2008,ADK90,Guideboat,g2,7,22607,70.2,0.323,4.58
2025,ADK90,Canoe,oc2stockmix,5,22614.4,60.5,0.134,3.08
2013,ADK90,Canoe,open,NA,22617,57.4,0.047,4.6
2017,ADK90,Canoe,open,NA,22617,52.8,0.02,5.46
2017,ADK90,Canoe,oc2ammix,4,22628,52.8,0.02,5.46
2009,ADK90,Canoe,open,NA,22628,60,0.185,4.03
2015,ADK90,Kayak,k1tourmaster,6,22632,63,0.185,2.75
2010,ADK90,Canoe,oc2stockwomen,2,22633,58.4,0,3.89
2013,ADK90,Canoe,opensuperveteran,2,22636,57.4,0.047,4.6
2014,ADK90,Guideboat,g2,2,22636,68.9,0.067,4.01
2025,ADK90,Canoe,oc2rec,1,22637,60.5,0.134,3.08
2023,ADK90,Canoe,oc4stockmix,18,22638.5,65.2,0,5
2011,ADK90,Canoe,open,NA,22639,62.9,0,7.28
2023,ADK90,Canoe,oc2stockwomen,1,22639.7,65.2,0,5
2025,ADK90,Canoe,oc4stocknc,3,22643.5,60.5,0.134,3.08
2010,ADK90,Canoe,open,NA,22644,58.4,0,3.89
2025,ADK90,Kayak,k1sportwomen,1,22644.6,60.5,0.134,3.08
2011,ADK90,Canoe,open,NA,22646,62.9,0,7.28
2022,ADK90,Canoe,oc4stockmix,15,22649.1,67.5,0,3.91
2010,ADK90,Canoe,oc1am,3,22653,58.4,0,3.89
2016,ADK90,Canoe,oc1recmaster,3,22655,69.6,0.004,3.19
2019,ADK90,Canoe,oc1rec,3,22655,59.3,0.008,4.97
2021,ADK90,Unknown,open,12,22656,60,0,5.13
2018,ADK90,Canoe,open,NA,22660,58.7,0,2.76
2023,ADK90,Canoe,oc4stockwomen,5,22662.4,65.2,0,5
2015,ADK90,Canoe,open,NA,22664,63,0.185,2.75
2013,ADK90,Canoe,open,NA,22669,57.4,0.047,4.6
2018,ADK90,Canoe,open,NA,22672,58.7,0,2.76
2016,ADK90,Guideboat,g2mix,2,22672,69.6,0.004,3.19
2022,ADK90,Kayak,k1tourveteran,3,22673.9,67.5,0,3.91
2013,ADK90,Canoe,voyageur,7,22675,57.4,0.047,4.6
2014,ADK90,Kayak,k1tourmaster,4,22677,68.9,0.067,4.01
2019,ADK90,Unknown,open,56,22680,59.3,0.008,4.97
2015,ADK90,Canoe,open,NA,22682,63,0.185,2.75
2018,ADK90,Canoe,oc2stockmaster,4,22686,58.7,0,2.76
2014,ADK90,Canoe,oc2stock,8,22687,68.9,0.067,4.01
2019,ADK90,Guideboat,g2,2,22688,59.3,0.008,4.97
2009,ADK90,Canoe,oc1amveteran,1,22688,60,0.185,4.03
2025,ADK90,Kayak,k2goldnc,1,22690.9,60.5,0.134,3.08
2025,ADK90,Canoe,oc4stocktour,2,22693.7,60.5,0.134,3.08
2009,ADK90,Guideboat,g2,4,22695,60,0.185,4.03
2023,ADK90,Canoe,oc2stockmix,7,22696.2,65.2,0,5
2024,ADK90,Unknown,voyageurmix,5,22700.1,59.6,0.768,4.26
2015,ADK90,Canoe,open,NA,22703,63,0.185,2.75
2014,ADK90,Canoe,oc1stockwomen,1,22704,68.9,0.067,4.01
2012,ADK90,Canoe,oc1stock,4,22705,69.1,0.516,4.29
2013,ADK90,Canoe,open,NA,22708,57.4,0.047,4.6
2025,ADK90,Canoe,oc1open,3,22711.9,60.5,0.134,3.08
2008,ADK90,Canoe,oc4,9,22713,70.2,0.323,4.58
2024,ADK90,Guideboat,g2mix,2,22714,59.6,0.768,4.26
2010,ADK90,Canoe,oc4mix,15,22718,58.4,0,3.89
2012,ADK90,Guideboat,g1,3,22721,69.1,0.516,4.29
2016,ADK90,Canoe,oc1recveteran,1,22722,69.6,0.004,3.19
2011,ADK90,Canoe,oc2stock,9,22723,62.9,0,7.28
2024,ADK90,Canoe,oc2stocktour,1,22726.1,59.6,0.768,4.26
2022,ADK90,Canoe,oc4stock,11,22726.7,67.5,0,3.91
2023,ADK90,Canoe,oc2stockwomen,3,22728.6,65.2,0,5
2014,ADK90,Canoe,open,NA,22732,68.9,0.067,4.01
2017,ADK90,Canoe,oc1recveteran,2,22734,52.8,0.02,5.46
